,panel,xm,ym,ds,Qy,Qx,qs
417,lower,0.07383368765000001,-0.00244845397,0.0005795765999999924,-5.8834165754974124e-06,1.6602878220278347e-06,4641.2349775213415
418,lower,0.0744128303,-0.0024283040450000003,0.0005794095999999971,-5.8947609865284855e-06,1.6513858690893548e-06,4618.601504129459
419,lower,0.07499181315,-0.00240830921,0.0005792463000000025,-5.905766826592824e-06,1.6424980069991674e-06,4595.987027106906
420,lower,0.07557063985,-0.002388476255,0.0005790865000000062,-5.916434439685112e-06,1.6336240818509813e-06,4573.391162904137
421,lower,0.0761493141,-0.00236881187,0.0005789301999999941,-5.926764161505455e-06,1.624763936151314e-06,4550.813518175694
422,lower,0.07672783964999999,-0.002349322645,0.0005787772999999996,-5.936756317709551e-06,1.615917410406543e-06,4528.253693829642
423,lower,0.07730622009999999,-0.0023300150649999997,0.0005786279000000033,-5.946411227569462e-06,1.6070843401232265e-06,4505.7112773922945
424,lower,0.07788445899999999,-0.00231089551,0.0005784818999999969,-5.95572920055484e-06,1.5982645589259933e-06,4483.185850964656
425,lower,0.07846255985,-0.00229197027,0.0005783391999999998,-5.964710536598167e-06,1.5894578986018418e-06,4460.676991351935
426,lower,0.07904052615000001,-0.00227324554,0.0005781999000000065,-5.973355529321081e-06,1.5806641861054912e-06,4438.184262418595
427,lower,0.07961836135,-0.00225472742,0.0005780638000000005,-5.981664461524669e-06,1.5718832481783078e-06,4415.707226904368
428,lower,0.0801960689,-0.00223642193,0.0005779311999999925,-5.989637612554217e-06,1.5631149037930607e-06,4393.245427096011
429,lower,0.08077365215,-0.00221833499,0.0005778015999999969,-5.997275247093447e-06,1.5543589763556547e-06,4370.79841607858
430,lower,0.08135111440000001,-0.0022004724449999997,0.0005776753000000107,-6.00457762646547e-06,1.5456152816024383e-06,4348.365726747598
431,lower,0.08192845900000001,-0.00218284006,0.0005775521999999977,-6.011545003089508e-06,1.5368836337138712e-06,4325.946887471215
432,lower,0.08250568915,-0.00216544351,0.0005774322999999998,-6.0181776219510455e-06,1.5281638438477528e-06,4303.541418339959
433,lower,0.08308280805,-0.0021482884,0.0005773154999999947,-6.024475719514651e-06,1.5194557216862477e-06,4281.148835146511
434,lower,0.08365981894999999,-0.002131380255,0.0005772017000000018,-6.0304395239295714e-06,1.5107590754733143e-06,4258.768649494162
435,lower,0.084236725,-0.0021147245299999997,0.0005770910999999962,-6.036069258248323e-06,1.5020737075313167e-06,4236.400357266707
436,lower,0.0848135293,-0.002098326605,0.0005769835999999973,-6.041365137243827e-06,1.49339941882548e-06,4214.043450371966
437,lower,0.0853902349,-0.00208219179,0.0005768790000000024,-6.04632736681206e-06,1.4847360104969865e-06,4191.697420710928
438,lower,0.08596684485,-0.002066325325,0.0005767774000000059,-6.05095614684404e-06,1.4760832793874567e-06,4169.361748649981
439,lower,0.08654336215,-0.0020507323799999998,0.0005766789000000022,-6.055251671026977e-06,1.467441018083047e-06,4147.035903125539
440,lower,0.0871197898,-0.00203541807,0.0005765833000000026,-6.059214124554884e-06,1.4588090194407177e-06,4124.71935333483
441,lower,0.0876961308,-0.002020387435,0.0005764906999999875,-6.062843686481263e-06,1.4501870721294726e-06,4102.411557224584
442,lower,0.08827238805,-0.002005645455,0.0005764009000000098,-6.066140527832975e-06,1.4415749651501525e-06,4080.111973186095
443,lower,0.0888485644,-0.0019911970550000003,0.0005763139999999944,-6.069104813645613e-06,1.4329724833741773e-06,4057.8200485207426
444,lower,0.08942466269999999,-0.00197704709,0.0005762301999999997,-6.071736703192178e-06,1.4243794060950912e-06,4035.5352156723625
445,lower,0.09000068585,-0.001963200365,0.000576148999999998,-6.0740363467017966e-06,1.4157955174940269e-06,4013.2569193638446
446,lower,0.0905766366,-0.0019496616300000002,0.0005760707000000004,-6.076003889332752e-06,1.4072205947320986e-06,3990.984585733684
447,lower,0.09115251769999999,-0.0019364355700000001,0.0005759951999999985,-6.0776394693476045e-06,1.3986544139492135e-06,3968.7176378936347
448,lower,0.09172833194999999,-0.00192352682,0.0005759226000000006,-6.078943218769531e-06,1.3900967473118913e-06,3946.4554882596713
449,lower,0.092304082,-0.00191093996,0.0005758527000000041,-6.079915262733953e-06,1.3815473674999563e-06,3924.1975502256373
450,lower,0.09287977054999999,-0.001898679525,0.0005757856000000033,-6.0805557202558626e-06,1.3730060432680785e-06,3901.943226621702
451,lower,0.09345540029999999,-0.001886749995,0.0005757212000000039,-6.080864703893974e-06,1.364472542442621e-06,3879.691917516776
452,lower,0.0940309739,-0.0018751557950000002,0.000575659499999992,-6.080842320007542e-06,1.3559466304632143e-06,3857.443016426344
453,lower,0.0946064939,-0.001863901305,0.0005756006000000036,-6.08048866875406e-06,1.3474280689243975e-06,3835.1959065068636
454,lower,0.09518196285,-0.0018529908550000002,0.0005755442999999943,-6.079803844217518e-06,1.3389166200408712e-06,3812.949972214238
455,lower,0.0957573834,-0.0018424287400000002,0.0005754907000000004,-6.078787934283047e-06,1.3304120422210174e-06,3790.704587746675
456,lower,0.09633275805,-0.001832219195,0.0005754396999999994,-6.077441020962555e-06,1.3219140930545713e-06,3768.459124857877
457,lower,0.09690808925,-0.0018223664099999998,0.0005753915000000082,-6.0757631797800986e-06,1.3134225249023768e-06,3746.212941316583
458,lower,0.0974833795,-0.00181287454,0.0005753454999999907,-6.073754482077077e-06,1.3049370967181083e-06,3723.965411875467
459,lower,0.0980586313,-0.001803747695,0.0005753029999999992,-6.0714149886675625e-06,1.2964575460423416e-06,3701.71585485872
460,lower,0.09863384705,-0.00179498994,0.0005752620000000069,-6.0687447622234655e-06,1.2879836376806173e-06,3679.46365983393
461,lower,0.09920902915,-0.0017866053,0.0005752239999999992,-6.065743853617846e-06,1.27951511212481e-06,3657.2081523046472
462,lower,0.09978418005,-0.001778597755,0.0005751890000000037,-6.0624123071340765e-06,1.2710517076955392e-06,3634.9486517627793
463,lower,0.10035930200000001,-0.00177097125,0.0005751569999999928,-6.058750160581792e-06,1.2625931605560932e-06,3612.684471731015
464,lower,0.1009343975,-0.001763729695,0.0005751250000000097,-6.054757465980854e-06,1.2541392488240062e-06,3590.4150359544306
465,lower,0.1015094685,-0.00175687695,0.0005750989999999956,-6.0504342291228826e-06,1.2456896602794683e-06,3568.1395300229347
466,lower,0.1020845175,-0.001750416845,0.0005750729999999954,-6.045780492563175e-06,1.2372441687694736e-06,3545.857366041126
467,lower,0.1026595475,-0.0017443531749999999,0.0005750500000000075,-6.0407962711278e-06,1.2288025019496898e-06,3523.567834125218
468,lower,0.10323455949999999,-0.0017386896950000001,0.0005750299999999903,-6.035481573891215e-06,1.220364385398474e-06,3501.2702186689185
469,lower,0.103809556,-0.0017334301250000001,0.0005750119999999997,-6.029836413131623e-06,1.2119295572990775e-06,3478.963837125634
470,lower,0.10438454,-0.00172857815,0.0005749970000000076,-6.023860785558973e-06,1.2034977391051519e-06,3456.6479624769127
471,lower,0.10495951349999999,-0.00172413742,0.0005749830000000011,-6.017554703492672e-06,1.195068679552998e-06,3434.321939715712
472,lower,0.10553447799999999,-0.0017201115549999998,0.000574973999999992,-6.01091813049476e-06,1.1866420667055536e-06,3411.9849529529865
473,lower,0.106109436,-0.001716504145,0.0005749650000000106,-6.00395108065187e-06,1.1782176598933735e-06,3389.6363749193706
474,lower,0.10668438999999999,-0.001713318735,0.0005749599999999994,-5.99665351584387e-06,1.1697951578246979e-06,3367.275417415634
475,lower,0.1072593415,-0.0017105588400000002,0.0005749559999999876,-5.989025429990436e-06,1.161374301169607e-06,3344.9014034206775
476,lower,0.1078342925,-0.0017082279600000002,0.0005749560000000015,-5.981066772609846e-06,1.1529547846679572e-06,3322.5135337311744
477,lower,0.1084092455,-0.0017063295499999999,0.0005749570000000009,-5.972777528135033e-06,1.1445363450266678e-06,3300.111120486468
478,lower,0.10898420249999999,-0.00170486703,0.0005749609999999988,-5.964157648139921e-06,1.136118687709902e-06,3277.693392575409
479,lower,0.1095591655,-0.00170384381,0.0005749670000000096,-5.955207093440912e-06,1.1277015308684877e-06,3255.259612476911
480,lower,0.11013413650000001,-0.001703263255,0.0005749759999999909,-5.9459258041125284e-06,1.119284576077901e-06,3232.80899832895
481,lower,0.1107091175,-0.0017031286950000002,0.0005749859999999996,-5.936313747338414e-06,1.1108675522694978e-06,3210.340841075653
482,lower,0.1112841105,-0.0017034434500000002,0.0005750000000000061,-5.9263708355509135e-06,1.1024501425357477e-06,3187.8543091739557
483,lower,0.11185911700000001,-0.001704210805,0.0005750149999999982,-5.916097027020509e-06,1.0940320719767607e-06,3165.348683102758
484,lower,0.1124341395,-0.00170543401,0.0005750330000000026,-5.905492239970375e-06,1.0856130345191983e-06,3142.8231598939838
485,lower,0.11300918,-0.001707116295,0.0005750519999999926,-5.894556424331695e-06,1.077192751481966e-06,3120.277009722009
486,lower,0.11358424,-0.001709260865,0.0005750760000000077,-5.883289449078295e-06,1.0687708837304852e-06,3097.709340762685
487,lower,0.1141593215,-0.001711870895,0.0005750989999999956,-5.871691294409877e-06,1.0603471781231716e-06,3075.1194914227085
488,lower,0.11473442649999999,-0.00171494953,0.0005751270000000086,-5.859761816645641e-06,1.051921291782521e-06,3052.5065594467683
489,lower,0.1153095565,-0.0017184999,0.0005751549999999939,-5.847500969200834e-06,1.0434929532153867e-06,3029.869833948538
490,lower,0.1158847135,-0.001722525105,0.0005751870000000048,-5.834908616767739e-06,1.035061830473707e-06,3007.2084416317957
491,lower,0.1164598995,-0.001727028215,0.0005752210000000008,-5.82198466091934e-06,1.0266276190747165e-06,2984.521582804925
492,lower,0.11703511650000001,-0.001732012285,0.0005752559999999962,-5.808729021667056e-06,1.0181900273700166e-06,2961.8084922345142
493,lower,0.11761036550000001,-0.00173748034,0.000575294000000004,-5.7951415694815595e-06,1.0097487325594765e-06,2939.0683207985053
494,lower,0.1181856485,-0.00174343538,0.0005753339999999968,-5.781222192695521e-06,1.0013034246915397e-06,2916.300253839857
495,lower,0.118760968,-0.0017498803849999999,0.0005753770000000019,-5.766970749978514e-06,9.928537773204495e-07,2893.503432104047
496,lower,0.119336325,-0.00175681831,0.0005754209999999926,-5.752387144930579e-06,9.84399491563561e-07,2870.6770706189595
497,lower,0.119914624,-0.00176438538,0.0005812760000000056,-5.737318998057195e-06,9.758547835511362e-07,2847.5893239561606
498,lower,0.12050021650000001,-0.001772619275,0.000590024999999994,-5.721678540719032e-06,9.671766077751543e-07,2824.1232608519085
499,lower,0.1210901945,-0.00178115359,0.0005900540000000065,-5.705689195766389e-06,9.584929697561404e-07,2800.6246302429095
500,lower,0.121680202,-0.0017897203249999999,0.0005900849999999902,-5.689350856196869e-06,9.498038204181129e-07,2777.0932984521933
501,lower,0.1222702395,-0.0017983221300000001,0.0005901160000000016,-5.672663467726527e-06,9.411091385345658e-07,2753.5292072412562
502,lower,0.122860308,-0.0018069616400000002,0.0005901479999999987,-5.655626946610263e-06,9.32408886578203e-07,2729.9322542894015
