,panel,xm,ym,ds,theta,Qy,Qx,qs_b,q_total,tau
187,upper,0.065156,0.032242,0.000633,-3.017532,0.000003,0.000002,5416.174909,3280.410305,3280410.305154
188,upper,0.064528,0.032162,0.000633,-3.014788,0.000003,0.000002,5448.922003,3313.157399,3313157.398612
189,upper,0.063900,0.032081,0.000633,-3.012032,0.000003,0.000002,5481.561737,3345.797133,3345797.132989
190,upper,0.063272,0.031999,0.000633,-3.009261,0.000003,0.000002,5514.091333,3378.326729,3378326.728646
191,upper,0.062644,0.031914,0.000634,-3.006477,0.000003,0.000002,5546.507839,3410.743235,3410743.234747
192,upper,0.062016,0.031828,0.000634,-3.003679,0.000003,0.000002,5578.808390,3443.043786,3443043.786110
193,upper,0.061389,0.031740,0.000634,-3.000867,0.000003,0.000002,5610.990104,3475.225500,3475225.499730
194,upper,0.060761,0.031650,0.000634,-2.998040,0.000003,0.000002,5643.050028,3507.285424,3507285.423878
195,upper,0.060134,0.031559,0.000634,-2.995198,0.000003,0.000002,5674.985243,3539.220639,3539220.639195
196,upper,0.059507,0.031465,0.000634,-2.992341,0.000003,0.000002,5706.792811,3571.028207,3571028.207308
197,upper,0.058880,0.031370,0.000634,-2.989468,0.000003,0.000002,5738.469775,3602.705171,3602705.170595
198,upper,0.058253,0.031273,0.000634,-2.986580,0.000003,0.000002,5770.013106,3634.248502,3634248.501808
199,upper,0.057627,0.031174,0.000634,-2.983675,0.000003,0.000002,5801.419808,3665.655204,3665655.203742
200,upper,0.057000,0.031073,0.000635,-2.980753,0.000003,0.000002,5832.686813,3696.922209,3696922.209302
201,upper,0.056374,0.030971,0.000635,-2.977815,0.000003,0.000002,5863.811182,3728.046578,3728046.577947
202,upper,0.055748,0.030866,0.000635,-2.974859,0.000003,0.000002,5894.789804,3759.025200,3759025.199896
203,upper,0.055122,0.030760,0.000635,-2.971886,0.000003,0.000002,5925.619597,3789.854993,3789854.992559
204,upper,0.054496,0.030652,0.000635,-2.968894,0.000003,0.000002,5956.297455,3820.532851,3820532.850694
205,upper,0.053870,0.030542,0.000635,-2.965883,0.000003,0.000002,5986.820250,3851.055646,3851055.645990
206,upper,0.053245,0.030430,0.000635,-2.962854,0.000003,0.000002,6017.184830,3881.420226,3881420.226498
207,upper,0.052620,0.030316,0.000636,-2.959804,0.000003,0.000002,6047.388068,3911.623464,3911623.463572
208,upper,0.051995,0.030200,0.000636,-2.956735,0.000003,0.000002,6077.426807,3941.662203,3941662.202955
209,upper,0.051370,0.030082,0.000636,-2.953645,0.000003,0.000002,6107.297774,3971.533170,3971533.170214
210,upper,0.050746,0.029963,0.000636,-2.950534,0.000003,0.000002,6136.997716,4001.233112,4001233.112376
211,upper,0.050121,0.029841,0.000636,-2.947402,0.000003,0.000002,6166.523493,4030.758889,4030758.889072
212,upper,0.049497,0.029717,0.000636,-2.944247,0.000003,0.000002,6195.871749,4060.107145,4060107.145420
213,upper,0.048874,0.029591,0.000636,-2.941069,0.000003,0.000002,6225.039149,4089.274545,4089274.545060
214,upper,0.048250,0.029463,0.000637,-2.937868,0.000003,0.000002,6254.022463,4118.257859,4118257.859450
215,upper,0.047627,0.029334,0.000637,-2.934643,0.000003,0.000002,6282.818296,4147.053692,4147053.692014
216,upper,0.047004,0.029202,0.000637,-2.931393,0.000003,0.000002,6311.423220,4175.658616,4175658.615758
217,upper,0.046381,0.029068,0.000637,-2.928117,0.000003,0.000002,6339.833866,4204.069262,4204069.261702
218,upper,0.045759,0.028932,0.000637,-2.924816,0.000003,0.000002,6368.046831,4232.282227,4232282.226660
219,upper,0.045136,0.028794,0.000637,-2.921487,0.000003,0.000003,6396.058589,4260.293985,4260293.984599
220,upper,0.044514,0.028653,0.000638,-2.918131,0.000002,0.000003,6423.865710,4288.101106,4288101.106455
221,upper,0.043893,0.028511,0.000638,-2.914746,0.000002,0.000003,6451.464599,4315.699995,4315699.995153
222,upper,0.043272,0.028367,0.000638,-2.911331,0.000002,0.000003,6478.851750,4343.087146,4343087.146355
223,upper,0.042651,0.028220,0.000638,-2.907886,0.000002,0.000003,6506.023534,4370.258930,4370258.930428
224,upper,0.042030,0.028071,0.000638,-2.904410,0.000002,0.000003,6532.976409,4397.211805,4397211.805103
225,upper,0.041410,0.027920,0.000639,-2.900902,0.000002,0.000003,6559.706621,4423.942017,4423942.016796
226,upper,0.040790,0.027767,0.000639,-2.897360,0.000002,0.000003,6586.210541,4450.445937,4450445.937093
227,upper,0.040170,0.027611,0.000639,-2.893783,0.000002,0.000003,6612.484372,4476.719768,4476719.767729
228,upper,0.039551,0.027453,0.000639,-2.890171,0.000002,0.000003,6638.524433,4502.759829,4502759.828971
229,upper,0.038932,0.027293,0.000639,-2.886522,0.000002,0.000003,6664.326873,4528.562269,4528562.269392
230,upper,0.038313,0.027130,0.000640,-2.882835,0.000002,0.000003,6689.887833,4554.123229,4554123.228600
231,upper,0.037695,0.026966,0.000640,-2.879109,0.000002,0.000003,6715.203399,4579.438795,4579438.794703
232,upper,0.037078,0.026798,0.000640,-2.875341,0.000002,0.000003,6740.269685,4604.505081,4604505.080880
233,upper,0.036460,0.026629,0.000640,-2.871532,0.000002,0.000003,6765.082708,4629.318104,4629318.103830
234,upper,0.035843,0.026457,0.000641,-2.867678,0.000002,0.000003,6789.638426,4653.873822,4653873.821844
235,upper,0.035227,0.026282,0.000641,-2.863779,0.000002,0.000003,6813.932775,4678.168171,4678168.170819
236,upper,0.034611,0.026105,0.000641,-2.859832,0.000002,0.000003,6837.961589,4702.196985,4702196.985167
237,upper,0.033995,0.025926,0.000641,-2.855836,0.000002,0.000003,6861.720749,4725.956145,4725956.145369
238,upper,0.033380,0.025744,0.000642,-2.851789,0.000002,0.000003,6885.205955,4749.441351,4749441.350779
239,upper,0.032766,0.025559,0.000642,-2.847689,0.000002,0.000003,6908.412943,4772.648339,4772648.339300
240,upper,0.032151,0.025372,0.000642,-2.843533,0.000002,0.000003,6931.337376,4795.572772,4795572.772030
241,upper,0.031538,0.025182,0.000642,-2.839320,0.000002,0.000003,6953.974834,4818.210230,4818210.230252
242,upper,0.030925,0.024989,0.000643,-2.835047,0.000002,0.000003,6976.320781,4840.556177,4840556.177401
243,upper,0.030312,0.024794,0.000643,-2.830710,0.000002,0.000003,6998.370767,4862.606163,4862606.163488
244,upper,0.029700,0.024596,0.000643,-2.826308,0.000002,0.000003,7020.120112,4884.355508,4884355.507673
245,upper,0.029089,0.024395,0.000644,-2.821838,0.000002,0.000003,7041.564106,4905.799502,4905799.501821
246,upper,0.028478,0.024191,0.000644,-2.817296,0.000002,0.000003,7062.698007,4926.933403,4926933.402826
247,upper,0.027868,0.023984,0.000645,-2.812678,0.000001,0.000003,7083.516963,4947.752359,4947752.359311
248,upper,0.027258,0.023775,0.000645,-2.807982,0.000001,0.000003,7104.016011,4968.251407,4968251.406875
249,upper,0.026649,0.023562,0.000645,-2.803204,0.000001,0.000003,7124.190130,4988.425526,4988425.525750
