,panel,xm,ym,ds,theta,Qy,Qx,qs
64,upper,0.141845898,0.0308099757,0.0006132560999999,3.013074971742947,2.604401915595519e-06,5.837574457123431e-07,1386.5579834370353
65,upper,0.1412376555,0.03088822365,0.0006132538,3.0142238304236453,2.633375440633182e-06,5.947670029170463e-07,1413.7656842988492
66,upper,0.1406293255,0.03096577165,0.0006132516999999,3.015375472277136,2.6619758070484834e-06,6.05824078863924e-07,1441.116970000241
67,upper,0.140020909,0.0310426177,0.0006132496999999,3.016530402584703,2.690202968953206e-06,6.169282445674284e-07,1468.6107235445102
68,upper,0.1394124055,0.0311187598,0.0006132478,3.0176887361365554,2.718056879970502e-06,6.280790698427815e-07,1496.245824831306
69,upper,0.138803816,0.03119419585,0.0006132460999999,3.018850072022817,2.745537498635874e-06,6.392761250701052e-07,1524.0211549764756
70,upper,0.138195141,0.03126892375,0.0006132443,3.0200150131913315,2.772644770165834e-06,6.505189738905593e-07,1551.9355782102084
71,upper,0.1375863809999999,0.0313429414,0.0006132427999999,3.021182964678068,2.7993786577042793e-06,6.618071860018573e-07,1579.9879736257499
72,upper,0.1369775365,0.0314162467,0.0006132413,3.022354518064021,2.8257391112586085e-06,6.731403243395099e-07,1608.1772033604616
73,upper,0.1363686075,0.0314888375,0.0006132398999999,3.0235294436777727,2.851726085074236e-06,6.84517952379091e-07,1636.502130738493
74,upper,0.1357595945,0.0315607116,0.0006132385999999,3.0247079356697832,2.8773395335208834e-06,6.959396322718336e-07,1664.9616156216998
75,upper,0.1351504985,0.0316318668499999,0.0006132375,3.025889453777626,2.9025794155149756e-06,7.074049267445007e-07,1693.554519135071
76,upper,0.13454132,0.0317023011,0.0006132364,3.0270747286350383,2.9274456818045167e-06,7.189133934971049e-07,1722.2796897154522
77,upper,0.1339320595,0.03177201205,0.0006132353999999,3.0282635234437185,2.951938287438398e-06,7.304645907052443e-07,1751.1359768149284
78,upper,0.1333227175,0.03184099745,0.0006132346999999,3.029455909316652,2.976057195455731e-06,7.420580789689201e-07,1780.1222357924496
79,upper,0.132713294,0.0319092551,0.0006132339,3.030651841504083,2.9998023528589055e-06,7.536934100131386e-07,1809.237299690152
80,upper,0.1321037895,0.0319767827,0.0006132332,3.031851502504196,3.023173714762285e-06,7.653701379419864e-07,1838.4800073323797
81,upper,0.1314942049999999,0.03204357795,0.0006132328,3.0330545370594137,3.0461712442112115e-06,7.770878192925175e-07,1867.8492034758017
82,upper,0.1308845415,0.03210963845,0.0006132323999999,3.0342616285301607,3.0687948932479894e-06,7.88846003438788e-07,1897.343714763365
83,upper,0.1302747985,0.0321749619,0.0006132319999999,3.0354722991176657,3.0910446136084094e-06,8.006442383453059e-07,1926.9623641759972
84,upper,0.129664977,0.03223954595,0.000613232,3.036686668533496,3.112920371910745e-06,8.124820782579752e-07,1956.7039903042296
85,upper,0.1290550775,0.0323033882,0.0006132317999999,3.0379049477010547,3.1344221133102945e-06,8.243590644077231e-07,1986.5673989036472
86,upper,0.1284451005,0.0323664862,0.0006132319,3.0391270995722865,3.1555498008614807e-06,8.362747462006848e-07,2016.5514161228457
87,upper,0.127835047,0.0324288375,0.0006132322,3.04035298808214,3.1763033942986484e-06,8.482286696478051e-07,2046.654859425207
88,upper,0.1272249165,0.0324904397,0.0006132323999999,3.041583091117435,3.1966828427135766e-06,8.60220373458536e-07,2076.87652778008
89,upper,0.1266147105,0.0325512902999999,0.0006132328,3.042816599516608,3.216688106087684e-06,8.722494006750522e-07,2107.215230891094
90,upper,0.1260044295,0.03261138675,0.0006132333999999,3.044054809904116,3.236319144342777e-06,8.843152928113837e-07,2137.669774477432
91,upper,0.1253940734999999,0.03267072655,0.0006132341,3.04529643159319,3.2555759138941745e-06,8.964175879096636e-07,2168.238955382686
92,upper,0.1247836434999999,0.03272930715,0.0006132348999999,3.046542595393447,3.274458371587152e-06,9.085558224644812e-07,2198.921566389683
93,upper,0.12417314,0.0327871259,0.0006132358,3.047792659251177,3.2929664743903088e-06,9.207295313611109e-07,2229.716396075387
94,upper,0.123562564,0.0328441802499999,0.0006132367999999,3.049046789146724,3.31110017970212e-06,9.329382479363539e-07,2260.6222289535735
95,upper,0.1229519155,0.0329004676,0.000613238,3.050305286028742,3.3288594476336645e-06,9.451815059439177e-07,2291.637850483511
96,upper,0.122341195,0.03295598525,0.0006132393999999,3.051568026209115,3.34624423823598e-06,9.574588375127667e-07,2322.7620418879737
97,upper,0.1217260424999999,0.03301091095,0.0006219603,3.053500056311349,3.363493658149653e-06,9.6994492706902e-07,2354.4380775845757
98,upper,0.1211035259999999,0.03306514995,0.0006277907999999,3.055855987766787,3.3805139707652305e-06,9.82582116875333e-07,2386.520424571341
99,upper,0.120477975,0.0331182534499999,0.0006278125999999,3.057953846673507,3.397142145610458e-06,9.952530845537506e-07,2418.7114969054383
100,upper,0.119852291,0.0331700451,0.0006278351999999,3.060055889027819,3.4133780925975e-06,1.0079570249826398e-06,2451.0091984115243
101,upper,0.1192264765,0.033220522,0.0006278586,3.062161991835385,3.4292217216975126e-06,1.0206931312549355e-06,2483.411428252208
102,upper,0.1186005335,0.0332696811499999,0.0006278828,3.0642727320318444,3.444672942626295e-06,1.0334605946087697e-06,2515.9160807635353
103,upper,0.1179744635,0.0333175195,0.0006279077999999,3.0663878243071534,3.459731664529917e-06,1.0462586043894685e-06,2548.521045372324
104,upper,0.1173482684999999,0.03336403405,0.0006279336999999,3.068507271681552,3.4743977986338453e-06,1.059086350117164e-06,2581.2242118523804
105,upper,0.1167219499999999,0.0334092218,0.0006279603,3.0706311899382555,3.488671250859075e-06,1.0719430153560983e-06,2614.0234547145137
106,upper,0.1160955095,0.0334530796499999,0.0006279877999999,3.072759779848857,3.502551931164137e-06,1.0848277858162715e-06,2646.9166538567824
107,upper,0.1154689495,0.0334956044499999,0.000628016,3.0748927790604457,3.5160397450807844e-06,1.0977398411261254e-06,2679.9016735402524
108,upper,0.1148422715,0.0335367931,0.0006280449999999,3.077030508406794,3.529134599841962e-06,1.110678361003807e-06,2712.976378170768
109,upper,0.1142154775,0.0335766425,0.0006280748999999,3.079172552476091,3.5418364044448156e-06,1.1236425252671558e-06,2746.138632321705
110,upper,0.1135885695,0.03361514945,0.0006281055999999,3.081319635326857,3.554145065480304e-06,1.1366315096435726e-06,2779.3862900190543
111,upper,0.1129615485,0.0336523107,0.000628137,3.083471394598408,3.5660604867554997e-06,1.149644485716113e-06,2812.7171946205867
112,upper,0.112334417,0.03368812305,0.0006281693,3.0856277430664547,3.5775825759889714e-06,1.1626806271594802e-06,2846.1291947367417
113,upper,0.1117071775,0.0337225833,0.0006282022999999,3.0877887783093514,3.588711237222814e-06,1.1757391014467032e-06,2879.620122988147
114,upper,0.1110798315,0.0337556881,0.0006282362,3.0899550608841566,3.5994463775311356e-06,1.188819078048767e-06,2913.1878170497853
115,upper,0.110452381,0.03378743415,0.0006282709,3.092125788544981,3.609787901893886e-06,1.2019197222296993e-06,2946.8301037288315
116,upper,0.109824828,0.03381781815,0.0006283063999999,3.094301759190717,3.6197357150308687e-06,1.2150401971148615e-06,2980.5448042654257
117,upper,0.109197174,0.03384683665,0.0006283427,3.096482732699348,3.629289721087362e-06,1.2281796635897022e-06,3014.329734084983
118,upper,0.1085694215,0.0338744863,0.0006283797999999,3.09866848260324,3.6384498242622203e-06,1.2413372803555304e-06,3048.1827029107594
119,upper,0.107941573,0.0339007637,0.0006284177,3.100859402770499,3.6472159288077774e-06,1.2545122038910502e-06,3082.101514663482
120,upper,0.10731363,0.03392566535,0.0006284563999999,3.10305555497964,3.6555879384012953e-06,1.2677035883824e-06,3116.0839673117885
121,upper,0.1066855945,0.0339491878,0.0006284959,3.105256654386817,3.6635657564589985e-06,1.2809105857474558e-06,3150.1278529191572
122,upper,0.1060574689999999,0.0339713275,0.0006285362999999,3.1074632428832234,3.671149287656739e-06,1.2941323476693794e-06,3184.230962870478
123,upper,0.1054292555,0.0339920809,0.0006285773999999,3.1096748433273373,3.6783384339332465e-06,1.307368019280767e-06,3218.3910716011114
